tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0379730	movie	Charlie: The Life and Art of Charles Chaplin	Charlie: The Life and Art of Charles Chaplin	0	2003	\N	132	Biography,Documentary
tt0381061	movie	Casino Royale	Casino Royale	0	2006	\N	144	Action,Adventure,Thriller
tt0381681	movie	Before Sunset	Before Sunset	0	2004	\N	80	Drama,Romance
tt0382932	movie	Ratatouille	Ratatouille	0	2007	\N	111	Adventure,Animation,Comedy
tt0383846	movie	When I Grow Up, I'll Be a Kangaroo	Kad porastem bicu Kengur	0	2004	\N	92	Comedy
tt0384116	movie	G.O.R.A.	G.O.R.A.	0	2004	\N	127	Adventure,Comedy,Sci-Fi
tt0385928	movie	Panchatanthiram	Panchatanthiram	0	2002	\N	150	Comedy
tt0386032	movie	Sicko	Sicko	0	2007	\N	123	Documentary,Drama
tt0386064	movie	Tae Guk Gi: The Brotherhood of War	Taegukgi hwinalrimyeo	0	2004	\N	140	Action,Drama,War
tt0393597	movie	Earth	Earth	0	2007	\N	90	Documentary
tt0393775	movie	Simon	Simon	0	2004	\N	102	Comedy,Drama
tt0395169	movie	Hotel Rwanda	Hotel Rwanda	0	2004	\N	121	Biography,Drama,History
tt0396962	movie	Shwaas	Shwaas	0	2004	\N	107	Drama
tt0399040	movie	My Girl	Fan chan	0	2003	\N	110	Comedy,Romance
tt0400234	movie	Black Friday	Black Friday	0	2004	\N	143	Action,Crime,Drama
tt0401085	movie	C.R.A.Z.Y.	C.R.A.Z.Y.	0	2005	\N	127	Comedy,Drama
tt0401383	movie	The Diving Bell and the Butterfly	Le scaphandre et le papillon	0	2007	\N	112	Biography,Drama
tt0401792	movie	Sin City	Sin City	0	2005	\N	124	Crime,Thriller
tt0405094	movie	The Lives of Others	Das Leben der Anderen	0	2006	\N	137	Drama,Thriller
tt0405159	movie	Million Dollar Baby	Million Dollar Baby	0	2004	\N	132	Drama,Sport
tt0405508	movie	Rang De Basanti	Rang De Basanti	0	2006	\N	157	Comedy,Drama
tt0407887	movie	The Departed	The Departed	0	2006	\N	151	Crime,Drama,Thriller
tt0408664	movie	Nobody Knows	Dare mo shiranai	0	2004	\N	141	Drama
tt0410407	movie	Orwell Rolls in His Grave	Orwell Rolls in His Grave	0	2003	\N	84	Documentary
tt0411469	movie	Hazaaron Khwaishein Aisi	Hazaaron Khwaishein Aisi	0	2003	\N	120	Drama
tt0412631	movie	Death in Gaza	Death in Gaza	0	2004	\N	80	Documentary
tt0413615	movie	Unforgivable Blackness: The Rise and Fall of Jack Johnson	Unforgivable Blackness: The Rise and Fall of Jack Johnson	0	2004	\N	214	Biography,Documentary,Sport
tt0416960	movie	The Lizard	Marmoulak	0	2004	\N	115	Comedy,Drama
tt0419781	movie	Graves End	Graves End	0	2005	\N	90	Mystery,Thriller
tt0423866	movie	3-Iron	Bin-jip	0	2004	\N	88	Crime,Drama,Romance
tt0424227	movie	Turtles Can Fly	Lakposhtha parvaz mikonand	0	2004	\N	98	Drama,War
tt0425162	movie	Kaazhcha	Kaazhcha	0	2004	\N	137	Drama
tt0425333	movie	Pardon	Pardon	0	2005	\N	94	Comedy,Drama
tt0428870	movie	A Moment to Remember	Nae meorisokui jiwoogae	0	2004	\N	117	Drama,Romance
tt0434409	movie	V for Vendetta	V for Vendetta	0	2005	\N	132	Action,Drama,Sci-Fi
tt0435761	movie	Toy Story 3	Toy Story 3	0	2010	\N	103	Adventure,Animation,Comedy
tt0436231	movie	The Devil and Daniel Johnston	The Devil and Daniel Johnston	0	2005	\N	110	Biography,Documentary,Music
tt0436971	movie	Why We Fight	Why We Fight	0	2005	\N	98	Documentary,History,War
tt0440963	movie	The Bourne Ultimatum	The Bourne Ultimatum	0	2007	\N	115	Action,Mystery,Thriller
tt0442268	movie	Be with You	Ima, ai ni yukimasu	0	2004	\N	119	Drama,Fantasy,Romance
tt0450259	movie	Blood Diamond	Blood Diamond	0	2006	\N	143	Adventure,Drama,Thriller
tt0453729	movie	Iqbal	Iqbal	0	2005	\N	132	Drama,Sport
tt0454921	movie	The Pursuit of Happyness	The Pursuit of Happyness	0	2006	\N	117	Biography,Drama
tt0455829	movie	Vettaiyaadu Vilaiyaadu	Vettaiyaadu Vilaiyaadu	0	2006	\N	174	Action,Crime,Thriller
tt0456144	movie	Keep at It Munna Bhai	Lage Raho Munna Bhai	0	2006	\N	144	Comedy,Drama,Fantasy
tt0456149	movie	The Death of Mr. Lazarescu	Moartea domnului Lãzãrescu	0	2005	\N	153	Drama
tt0457430	movie	Pan's Labyrinth	El laberinto del fauno	0	2006	\N	118	Drama,Fantasy,War
tt0457496	movie	Street Fight	Street Fight	0	2005	\N	83	Documentary
tt0458050	movie	Paruthiveeran	Paruthiveeran	0	2007	\N	162	Action,Drama,Romance
tt0459516	movie	Pudhu Pettai	Pudhu Pettai	0	2006	\N	168	Action,Crime,Drama
tt0462441	movie	Amazing Journey: The Story of The Who	Amazing Journey: The Story of The Who	0	2007	\N	237	Documentary,Music
tt0466460	movie	Khosla Ka Ghosla!	Khosla Ka Ghosla!	0	2006	\N	135	Comedy,Crime,Drama
tt0468569	movie	The Dark Knight	The Dark Knight	0	2008	\N	152	Action,Crime,Drama
tt0469494	movie	There Will Be Blood	There Will Be Blood	0	2007	\N	158	Drama
tt0471571	movie	Athadu	Athadu	0	2005	\N	172	Action,Comedy,Musical
tt0473453	movie	The Bondage	Bondage	0	2006	\N	100	Biography,Drama
tt0473604	movie	Anukokunda Oka Roju	Anukokunda Oka Roju	0	2005	\N	145	Mystery,Thriller
tt0476735	movie	My Father and My Son	Babam ve Oglum	0	2005	\N	108	Drama,Family
tt0477348	movie	No Country for Old Men	No Country for Old Men	0	2007	\N	122	Crime,Drama,Thriller
tt0478209	movie	Metal: A Headbanger's Journey	Metal: A Headbanger's Journey	0	2005	\N	96	Documentary,Music
tt0478331	movie	Workingman's Death	Workingman's Death	0	2005	\N	122	Documentary
tt0480732	movie	Shyamol Chhaya	Shyamol Chhaya	0	2004	\N	110	Drama
tt0482571	movie	The Prestige	The Prestige	0	2006	\N	130	Drama,Mystery,Sci-Fi
tt0483180	movie	Thanmathra	Thanmathra	0	2005	\N	160	Drama
tt0488414	movie	Omkara	Omkara	0	2006	\N	155	Action,Crime,Drama
tt0493393	movie	Ashes and Snow	Ashes and Snow	0	2005	\N	63	Documentary,Drama
tt0494724	movie	1 Litre of Tears	Ichi ritoru no namida	0	2005	\N	98	Drama
tt0758758	movie	Into the Wild	Into the Wild	0	2007	\N	148	Adventure,Biography,Drama
tt0759952	movie	American Zeitgeist	American Zeitgeist	0	2006	\N	150	Documentary
tt0770802	movie	Samsara	Samsara	0	2011	\N	102	Documentary,Music
tt0772153	movie	America: Freedom to Fascism	America: Freedom to Fascism	0	2006	\N	95	Documentary
tt0790636	movie	Dallas Buyers Club	Dallas Buyers Club	0	2013	\N	117	Biography,Drama
tt0796366	movie	Star Trek	Star Trek	0	2009	\N	127	Action,Adventure,Sci-Fi
tt0805188	movie	Marilena from P7	Marilena de la P7	0	2006	\N	48	Drama,Fantasy
tt0807956	movie	Occupation 101	Occupation 101	0	2006	\N	90	Documentary
tt0808417	movie	Persepolis	Persepolis	0	2007	\N	96	Animation,Biography,Drama
tt0814075	movie	Deliver Us from Evil	Deliver Us from Evil	0	2006	\N	101	Crime,Documentary
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi
tt0824316	movie	Dor	Dor	0	2006	\N	147	Drama
tt0839967	movie	The Rest is Silence	Restul e tacere	0	2007	\N	114	Comedy,Drama
tt0841119	movie	Lake of Fire	Lake of Fire	0	2006	\N	152	Documentary
tt0843326	movie	Bommarillu	Bommarillu	0	2006	\N	170	Comedy,Drama,Romance
tt0848228	movie	The Avengers	The Avengers	0	2012	\N	143	Action,Adventure,Sci-Fi
tt0851577	movie	The Island	Ostrov	0	2006	\N	112	Drama
tt0855822	movie	Huddersfield	Hadersfild	0	2007	\N	95	Drama
tt0856008	movie	Sharkwater	Sharkwater	0	2006	\N	89	Documentary
tt0860906	movie	Evangelion: 2.0 You Can (Not) Advance	Evangerion shin gekijôban: Ha	0	2009	\N	112	Action,Animation,Drama
tt0861739	movie	Elite Squad	Tropa de Elite	0	2007	\N	115	Action,Crime,Drama
tt0867145	movie	Classmates	Classmates	0	2006	\N	175	Drama,Mystery,Romance
tt0870112	movie	Future by Design	Future by Design	0	2006	\N	86	Documentary,Sci-Fi
tt0871510	movie	Chak de! India	Chak De! India	0	2007	\N	153	Drama,Family,Sport
tt0892375	movie	U2 3D	U2 3D	0	2007	\N	85	Documentary,Music
tt0892425	movie	Before Flying Back to Earth	Pries parskrendant i zeme	0	2005	\N	52	Documentary
tt0892769	movie	How to Train Your Dragon	How to Train Your Dragon	0	2010	\N	98	Action,Adventure,Animation
tt0910970	movie	WALL·E	WALL·E	0	2008	\N	98	Adventure,Animation,Family
tt0911010	movie	White Light/Black Rain: The Destruction of Hiroshima and Nagasaki	White Light/Black Rain: The Destruction of Hiroshima and Nagasaki	0	2007	\N	86	Documentary,History
tt0912593	movie	No End in Sight	No End in Sight	0	2007	\N	102	Documentary,War
tt0923752	movie	The King of Kong: A Fistful of Quarters	The King of Kong	0	2007	\N	79	Biography,Documentary,Sport
tt0925130	movie	Suryam	Suryam	0	2004	\N	150	Action,Romance
tt0925248	movie	In the Shadow of the Moon	In the Shadow of the Moon	0	2007	\N	100	Documentary,History
tt0929620	movie	Political Rowdy	Political Rowdy	0	2005	\N	\N	Action
tt0947798	movie	Black Swan	Black Swan	0	2010	\N	108	Drama,Thriller
tt0965382	movie	Tom Petty and the Heartbreakers: Runnin' Down a Dream	Tom Petty and the Heartbreakers: Runnin' Down a Dream	0	2007	\N	239	Documentary,Music
tt0978762	movie	Mary and Max	Mary and Max	0	2009	\N	92	Animation,Comedy,Drama
tt0986264	movie	Like Stars on Earth	Taare Zameen Par	0	2007	\N	165	Drama,Family
tt0986329	movie	Mungaru Male	Mungaru Male	0	2006	\N	143	Comedy,Music,Romance
tt0988108	movie	The Class	Klass	0	2007	\N	99	Drama
tt0993846	movie	The Wolf of Wall Street	The Wolf of Wall Street	0	2013	\N	180	Biography,Comedy,Crime
tt1010048	movie	Slumdog Millionaire	Slumdog Millionaire	0	2008	\N	120	Drama,Romance
tt1014762	movie	Home	Home	0	2009	\N	120	Documentary,Drama,Family
tt1015246	movie	War Made Easy: How Presidents & Pundits Keep Spinning Us to Death	War Made Easy: How Presidents & Pundits Keep Spinning Us to Death	0	2007	\N	73	Documentary,History,War
tt1028532	movie	Hachi: A Dog's Tale	Hachi: A Dog's Tale	0	2009	\N	93	Drama,Family
tt1029172	movie	The War on Democracy	The War on Democracy	0	2007	\N	96	Documentary
tt1034053	movie	Mozhi	Mozhi	0	2007	\N	155	Comedy,Musical,Romance
tt1039647	movie	The Union: The Business Behind Getting High	The Union: The Business Behind Getting High	0	2007	\N	104	Documentary
tt1049413	movie	Up	Up	0	2009	\N	96	Adventure,Animation,Comedy
tt1068956	movie	In the Name of God	Khuda Kay Liye	0	2007	\N	168	Drama
tt1069238	movie	Departures	Okuribito	0	2008	\N	130	Drama,Music
tt1087578	movie	Still Walking	Aruitemo aruitemo	0	2008	\N	115	Drama
tt1094594	movie	Sigur Rós: Heima	Sigur Rós: Heima	0	2007	\N	97	Documentary,Music
tt1097256	movie	Please Vote for Me	Please Vote for Me	0	2007	\N	58	Documentary
tt1113829	movie	George Harrison: Living in the Material World	George Harrison: Living in the Material World	0	2011	\N	208	Biography,Documentary,Music
tt1128075	movie	Love Exposure	Ai no mukidashi	0	2008	\N	237	Action,Comedy,Drama
tt1129435	movie	The Beaches of Agnès	Les plages d'Agnès	0	2008	\N	110	Biography,Documentary
tt1130884	movie	Shutter Island	Shutter Island	0	2010	\N	138	Mystery,Thriller
tt1152758	movie	Dear Zachary: A Letter to a Son About His Father	Dear Zachary: A Letter to a Son About His Father	0	2008	\N	95	Biography,Crime,Documentary
tt1157720	movie	Stranded: I've Come from a Plane That Crashed on the Mountains	Stranded: I've Come from a Plane That Crashed on the Mountains	0	2007	\N	130	Documentary
tt1171701	movie	The Breath	Nefes: Vatan Sagolsun	0	2009	\N	128	Action,Drama,Thriller
tt1178197	movie	The World is Big and Salvation Lurks Around the Corner	Svetat e golyam i spasenie debne otvsyakade	0	2008	\N	105	Drama
tt1180583	movie	Vaaranam Aayiram	Vaaranam Aayiram	0	2008	\N	169	Drama,Musical,Romance
tt1183919	movie	Marley	Marley	0	2012	\N	144	Biography,Documentary,Music
tt1185616	movie	Waltz with Bashir	Vals Im Bashir	0	2008	\N	90	Animation,Biography,Drama
tt1187043	movie	3 Idiots	3 Idiots	0	2009	\N	170	Comedy,Drama
tt1188996	movie	My Name Is Khan	My Name Is Khan	0	2010	\N	165	Drama
tt1194437	movie	Rats and Cats	Rats and Cats	0	2007	\N	87	Comedy,Drama
tt1194620	movie	Silent Wedding	Nunta muta	0	2008	\N	87	Comedy,Drama,Romance
tt1201607	movie	Harry Potter and the Deathly Hallows: Part 2	Harry Potter and the Deathly Hallows: Part 2	0	2011	\N	130	Adventure,Drama,Fantasy
tt1205489	movie	Gran Torino	Gran Torino	0	2008	\N	116	Drama
tt1220719	movie	Ip Man	Yip Man	0	2008	\N	106	Action,Biography,Drama
tt1249171	movie	Global Metal	Global Metal	0	2008	\N	93	Documentary,Music
tt1255953	movie	Incendies	Incendies	0	2010	\N	131	Drama,Mystery,War
tt1260502	movie	Ghost in the Shell 2.0	Kôkaku kidôtai 2.0	0	2008	\N	83	Action,Animation,Crime
tt1261047	movie	Gulaal	Gulaal	0	2009	\N	140	Crime,Drama,Thriller
tt1277737	movie	The Stoning of Soraya M.	The Stoning of Soraya M.	0	2008	\N	114	Drama
tt1278060	movie	Kara no Kyoukai: The Garden of Sinners - Paradox Spiral	Gekijô ban Kara no kyôkai: Dai go shô - Mujun rasen	0	2008	\N	114	Action,Animation,Crime
tt1280558	movie	A Wednesday	A Wednesday	0	2008	\N	104	Crime,Drama,Mystery
tt1282139	movie	Cars of the Revolution	Devrim Arabalari	0	2008	\N	115	Drama
tt1282371	movie	Sorry for the Disturbance	Aasef ala el-iz'ag	0	2008	\N	116	Comedy,Drama,Mystery
tt1291584	movie	Warrior	Warrior	0	2011	\N	140	Drama,Sport
tt1294182	movie	Living in Emergency	Living in Emergency	0	2008	\N	93	Documentary
tt1305806	movie	The Secret in Their Eyes	El secreto de sus ojos	0	2009	\N	129	Drama,Mystery,Romance
tt1305871	movie	The Soviet Story	The Soviet Story	0	2008	\N	86	Documentary,History,War
tt1313104	movie	The Cove	The Cove	0	2009	\N	92	Crime,Documentary
tt1320254	movie	Presumed Guilty	Presunto culpable	0	2008	\N	87	Documentary
tt1327035	movie	Dev D	Dev.D	0	2009	\N	144	Comedy,Drama,Romance
tt1327819	movie	Boy Interrupted	Boy Interrupted	0	2009	\N	92	Biography,Documentary,Drama
tt1333634	movie	Burma VJ: Reporting from a Closed Country	Burma VJ: Reporter i et lukket land	0	2008	\N	84	Documentary,History,News
tt1345836	movie	The Dark Knight Rises	The Dark Knight Rises	0	2012	\N	164	Action,Thriller
tt1360860	movie	About Elly	Darbareye Elly	0	2009	\N	119	Drama,Mystery,Thriller
tt1361558	movie	Iron Maiden: Flight 666	Iron Maiden: Flight 666	0	2009	\N	112	Documentary,Music
tt1375666	movie	Inception	Inception	0	2010	\N	148	Action,Adventure,Sci-Fi
tt1392190	movie	Mad Max: Fury Road	Mad Max: Fury Road	0	2015	\N	120	Action,Adventure,Sci-Fi
tt1392214	movie	Prisoners	Prisoners	0	2013	\N	153	Crime,Drama,Mystery
tt1417299	movie	Unnaipol Oruvan	Unnaipol Oruvan	0	2009	\N	106	Crime,Drama,Thriller
tt1417592	movie	Pearl Jam Twenty	Pearl Jam Twenty	0	2011	\N	109	Documentary,History,Music
tt1419318	movie	Facing Ali	Facing Ali	0	2009	\N	100	Biography,Documentary,Sport
tt1424432	movie	Senna	Senna	0	2010	\N	106	Biography,Documentary,Sport
tt1430836	movie	Yaavarum Nalam	Yaavarum Nalam	0	2009	\N	138	Horror,Mystery,Sci-Fi
tt1431045	movie	Deadpool	Deadpool	0	2016	\N	108	Action,Adventure,Comedy
tt1454029	movie	The Help	The Help	0	2011	\N	146	Drama
tt1487275	movie	The White Stripes Under Great White Northern Lights	The White Stripes Under Great White Northern Lights	0	2009	\N	93	Documentary,Music
tt1496729	movie	Aaranya Kaandam	Aaranya Kaandam	0	2010	\N	153	Action,Comedy,Crime
tt1499666	movie	Castaway on the Moon	Kimssi pyoryugi	0	2009	\N	116	Drama,Romance
tt1501298	movie	Kattradhu Thamizh	Kattradhu Thamizh	0	2007	\N	147	Drama,Mystery
tt1504320	movie	The King's Speech	The King's Speech	0	2010	\N	118	Biography,Drama,History
tt1517451	movie	A Star Is Born	A Star Is Born	0	2018	\N	136	Drama,Music,Romance
tt1524539	movie	Harishchandrachi Factory	Harishchandrachi Factory	0	2009	\N	96	Biography,Comedy,Drama
tt1545103	movie	Rush: Beyond the Lighted Stage	Rush: Beyond the Lighted Stage	0	2010	\N	107	Biography,Documentary,Music
tt1555149	movie	Elite Squad: The Enemy Within	Tropa de Elite 2: O Inimigo Agora é Outro	0	2010	\N	115	Action,Crime,Drama
tt1562872	movie	Zindagi Na Milegi Dobara	Zindagi Na Milegi Dobara	0	2011	\N	155	Comedy,Drama
tt1572781	movie	The Disappearance of Haruhi Suzumiya	Suzumiya Haruhi no shôshitsu	0	2010	\N	163	Animation,Comedy,Drama
tt1583256	movie	Gamyam	Gamyam	0	2008	\N	120	Drama
tt1583323	movie	Steam of Life	Miesten vuoro	0	2010	\N	81	Documentary
tt1587707	movie	Exit Through the Gift Shop	Exit Through the Gift Shop	0	2010	\N	87	Comedy,Crime,Documentary
tt1590129	movie	Natarang	Natarang	0	2010	\N	127	Drama
tt1601792	movie	Aa Naluguru	Aa Naluguru	0	2004	\N	141	Drama
tt1603362	movie	Prasthanam	Prasthanam	0	2010	\N	153	Action,Drama
tt1606829	movie	The Other Dream Team	The Other Dream Team	0	2012	\N	89	Documentary,Sport
tt1609168	movie	Vinnaithaandi Varuvaayaa	Vinnaithaandi Varuvaayaa	0	2010	\N	157	Drama,Romance
tt1613040	movie	Leader	Leader	0	2010	\N	167	Drama
tt1618448	movie	Racing Extinction	Racing Extinction	0	2015	\N	90	Adventure,Documentary,Drama
tt1620933	movie	Paan Singh Tomar	Paan Singh Tomar	0	2012	\N	135	Action,Biography,Crime
tt1621830	movie	Monpura	Monpura	0	2009	\N	136	Crime,Drama,Musical
tt1634013	movie	Montevideo: Taste of a Dream	Montevideo, Bog te video!	0	2010	\N	140	Adventure,Comedy,Drama
tt1639426	movie	Udaan	Udaan	0	2010	\N	134	Drama
tt1645089	movie	Inside Job	Inside Job	0	2010	\N	109	Crime,Documentary
tt1646967	movie	The Art of Flight	The Art of Flight	0	2011	\N	80	Adventure,Documentary,Sport
tt1649431	movie	Vedam	Vedam	0	2010	\N	135	Action,Crime,Drama
tt1659337	movie	The Perks of Being a Wallflower	The Perks of Being a Wallflower	0	2012	\N	103	Drama,Romance
tt1663202	movie	The Revenant	The Revenant	0	2015	\N	156	Action,Adventure,Biography
tt1670703	movie	Footsteps in the Sand	Stapki v pyasaka	0	2010	\N	89	Comedy,Drama
tt1675434	movie	The Intouchables	Intouchables	0	2011	\N	112	Biography,Comedy,Drama
tt1692928	movie	The Last Lions	The Last Lions	0	2011	\N	88	Documentary,Family
tt1695800	movie	Pranchiyettan and the Saint	Pranchiyettan and the Saint	0	2010	\N	140	Comedy,Drama
tt1698010	movie	TT3D: Closer to the Edge	TT3D: Closer to the Edge	0	2011	\N	104	Documentary,Sport
tt1715802	movie	How to Die in Oregon	How to Die in Oregon	0	2011	\N	107	Documentary,Drama,Family
tt1720035	movie	59 Seconds	59 Seconds	0	2016	\N	95	Action,Drama,Thriller
tt1727824	movie	Bohemian Rhapsody	Bohemian Rhapsody	0	2018	\N	134	Biography,Drama,Music
tt1754109	movie	Les Misérables in Concert: The 25th Anniversary	Les Misérables in Concert: The 25th Anniversary	0	2010	\N	178	Drama,Music,Musical
tt1773764	movie	Ship of Theseus	Ship of Theseus	0	2012	\N	140	Drama
tt1778338	movie	The Culture High	The Culture High	0	2014	\N	120	Documentary,News
tt1781069	movie	Zeitgeist: Moving Forward	Zeitgeist: Moving Forward	0	2011	\N	161	Documentary
tt1789083	movie	The Weight of Chains	The Weight of Chains	0	2010	\N	125	Documentary,History,News
tt1789810	movie	José and Pilar	José e Pilar	0	2010	\N	117	Biography,Documentary
tt1795369	movie	Frankenstein	National Theatre Live: Frankenstein	0	2011	\N	130	Drama
tt1798709	movie	Her	Her	0	2013	\N	126	Drama,Romance,Sci-Fi
tt1801071	movie	See You in Montevideo	Montevideo, vidimo se!	0	2014	\N	141	Adventure,Biography,Comedy
tt1805263	movie	I Am Kalam	I Am Kalam	0	2010	\N	88	Comedy,Drama
