tconst	ordering	nconst	category	job	characters
tt0242519	3	nm0792911	actor	\N	["Ghanshyam (Shyam)"]
tt0242519	4	nm0007102	actress	\N	["Anuradha Shivshankar Panikar"]
tt0242519	5	nm0698184	director	\N	\N
tt0246578	1	nm0350453	actor	\N	["Donnie Darko"]
tt0246578	2	nm0540441	actress	\N	["Gretchen Ross"]
tt0246578	3	nm0001521	actress	\N	["Rose Darko"]
tt0246578	4	nm0651660	actor	\N	["Eddie Darko"]
tt0246578	5	nm0446819	director	\N	\N
tt0246578	6	nm0276178	producer	producer	\N
tt0246578	7	nm0433339	producer	producer	\N
tt0246578	8	nm0572014	producer	producer	\N
tt0253474	1	nm0004778	actor	\N	["Wladyslaw Szpilman"]
tt0253474	2	nm0470981	actor	\N	["Captain Wilm Hosenfeld"]
tt0253474	3	nm0277975	actor	\N	["Father"]
tt0253474	4	nm0288976	actress	\N	["Dorota"]
tt0253474	5	nm0000591	director	\N	\N
tt0253474	8	nm0071452	producer	producer	\N
tt0253474	9	nm0764963	producer	producer	\N
tt0264464	1	nm0000138	actor	\N	["Frank Abagnale Jr."]
tt0264464	2	nm0000158	actor	\N	["Carl Hanratty"]
tt0264464	3	nm0000686	actor	\N	["Frank Abagnale"]
tt0264464	4	nm0000640	actor	\N	["Roger Strong"]
tt0264464	5	nm0000229	director	\N	\N
tt0264464	9	nm0662748	producer	producer	\N
tt0264476	10	nm1559125	self	\N	["Himself"]
tt0264476	1	nm1558332	self	\N	["Herself"]
tt0264476	2	nm1559984	self	\N	["Himself"]
tt0264476	3	nm1560606	self	\N	["Herself"]
tt0264476	4	nm1560709	self	\N	["Herself"]
tt0264476	5	nm0069797	director	\N	\N
tt0264476	9	nm1559988	self	\N	["Himself"]
tt0266543	1	nm0000983	actor	\N	["Marlin"]
tt0266543	2	nm0001122	actress	\N	["Dory"]
tt0266543	3	nm1071252	actor	\N	["Nemo"]
tt0266543	4	nm0000353	actor	\N	["Gill"]
tt0266543	5	nm0004056	director	\N	\N
tt0266543	6	nm0881279	director	co-director	\N
tt0266543	9	nm0910237	producer	producer	\N
tt0266697	1	nm0000235	actress	\N	["The Bride"]
tt0266697	2	nm0001016	actor	\N	["Bill"]
tt0266697	3	nm0000435	actress	\N	["Elle Driver"]
tt0266697	4	nm0000514	actor	\N	["Budd"]
tt0266697	5	nm0000233	director	\N	\N
tt0266697	6	nm0004744	producer	producer	\N
tt0268978	1	nm0000128	actor	\N	["John Nash"]
tt0268978	2	nm0000438	actor	\N	["Parcher"]
tt0268978	3	nm0000124	actress	\N	["Alicia Nash"]
tt0268978	4	nm0001626	actor	\N	["Dr. Rosen"]
tt0268978	5	nm0000165	director	\N	\N
tt0268978	8	nm0004976	producer	producer	\N
tt0270053	1	nm0258784	actor	\N	["Deli Emin"]
tt0270053	2	nm0015130	actress	\N	["Siti Ana (Siti Mother)"]
tt0270053	3	nm0259472	actor	\N	["Mayor Nazmi"]
tt0270053	4	nm0948000	actor	\N	["Fikri"]
tt0270053	5	nm0814716	director	\N	\N
tt0270053	6	nm0015528	producer	producer	\N
tt0276919	1	nm0000173	actress	\N	["Grace Margaret Mulligan"]
tt0276919	2	nm0079273	actor	\N	["Tom Edison"]
tt0276919	3	nm0000002	actress	\N	["Ma Ginger"]
tt0276919	4	nm0027683	actress	\N	["Gloria"]
tt0276919	5	nm0001885	director	\N	\N
tt0276919	6	nm0934668	producer	producer	\N
tt0278736	10	nm0005196	self	\N	["Himself"]
tt0278736	1	nm0473585	self	\N	["Herself"]
tt0278736	2	nm0000532	self	\N	["Himself"]
tt0278736	4	nm0472164	self	\N	["Herself, Stanley Kubrick's sister"]
tt0278736	5	nm0363214	director	\N	\N
tt0278736	8	nm0546192	self	\N	["Himself, professor, Stanley Kubrick's schoolfriend"]
tt0278736	9	nm0801883	self	\N	["Himself"]
tt0282864	1	nm2003038	self	\N	["Himself"]
tt0282864	2	nm0325148	self	\N	["Himself"]
tt0282864	3	nm2272155	self	\N	["Himself"]
tt0282864	4	nm2029440	self	\N	["Herself"]
tt0282864	5	nm0035184	director	\N	\N
tt0282864	6	nm0092632	director	co-director	\N
tt0283509	1	nm0229301	actor	\N	["Ciki"]
tt0283509	2	nm0084484	actor	\N	["Nino"]
tt0283509	3	nm0816297	actor	\N	["Cera"]
tt0283509	4	nm0796207	actor	\N	["Marchand"]
tt0283509	5	nm0849786	director	\N	\N
tt0283509	6	nm0059657	producer	producer	\N
tt0283509	7	nm0241496	producer	producer	\N
tt0283509	8	nm0463842	producer	producer	\N
tt0287467	1	nm0282936	actress	\N	["Lydia González"]
tt0287467	2	nm0194572	actor	\N	["Benigno Martín"]
tt0287467	3	nm0334882	actor	\N	["Marco Zuluaga"]
tt0287467	4	nm0914455	actress	\N	["Alicia"]
tt0287467	5	nm0000264	director	\N	\N
tt0296574	1	nm0222426	actor	\N	["Mallik"]
tt0296574	2	nm0482320	actor	\N	["Srinivasan"]
tt0296574	3	nm0463539	actress	\N	["Saroja"]
tt0296574	4	nm0084443	actress	\N	["Ranibai"]
tt0296574	5	nm0890060	director	\N	\N
tt0296574	8	nm0244866	producer	producer	\N
tt0296574	9	nm0438470	producer	producer	\N
tt0307385	1	nm1118214	self	\N	["Himself"]
tt0307385	2	nm2053608	self	\N	["Herself"]
tt0307385	3	nm2058604	self	\N	["Herself"]
tt0307385	4	nm2049750	self	\N	["Himself"]
tt0307385	5	nm0726123	director	\N	\N
tt0307385	6	nm0902193	producer	producer	\N
tt0309061	1	nm1126901	actor	\N	["Photographer"]
tt0309061	2	nm0023927	self	\N	["Herself - Chief International Correspondent CNN"]
tt0309061	3	nm1266208	actor	\N	["Foreign Editor STERN Magazine"]
tt0309061	4	nm1393205	actress	\N	["Editor in Chief GEO SAISON Magazine"]
tt0309061	5	nm0293726	director	\N	\N
tt0310793	1	nm0601619	self	\N	["Himself - Narrator"]
tt0310793	2	nm0000032	self	\N	["Himself"]
tt0310793	3	nm0001504	self	\N	["Himself"]
tt0310793	5	nm1061848	producer	producer	\N
tt0310793	6	nm0194365	producer	producer	\N
tt0310793	7	nm0233035	producer	producer	\N
tt0310793	8	nm0323359	producer	producer	\N
tt0312859	1	nm0534856	actor	\N	["G. Thiruchelvan"]
tt0312859	2	nm0801264	actress	\N	["Indra"]
tt0312859	3	nm1149405	actress	\N	["Amudha"]
tt0312859	4	nm0201903	actress	\N	["Shyama"]
tt0312859	5	nm0711745	director	\N	\N
tt0312859	7	nm1131063	producer	producer	\N
tt0314067	1	nm0224441	actor	\N	["Ovidiu Gorea"]
tt0314067	2	nm0227708	actor	\N	["Pavel Puiut"]
tt0314067	3	nm1155994	actress	\N	["Miruna"]
tt0314067	4	nm1156680	actress	\N	["Diana Dobrovicescu"]
tt0314067	5	nm0135952	director	\N	\N
tt0314067	6	nm0166436	producer	producer	\N
tt0314067	7	nm0166439	producer	producer	\N
tt0317705	1	nm0005266	actor	\N	["Bob Parr","Mr. Incredible"]
tt0317705	2	nm0000168	actor	\N	["Lucius Best","Frozone"]
tt0317705	3	nm0000456	actress	\N	["Helen Parr","Elastigirl"]
tt0317705	4	nm0005134	actor	\N	["Buddy Pine","Syndrome"]
tt0317705	5	nm0083348	director	\N	\N
tt0317705	6	nm0907869	producer	producer	\N
tt0317910	1	nm0573726	self	\N	["Himself"]
tt0317910	5	nm0001554	director	\N	\N
tt0317910	6	nm0013968	producer	producer	\N
tt0317910	7	nm0931308	producer	producer	\N
tt0319061	10	nm0005573	producer	producer	\N
tt0319061	1	nm0000191	actor	\N	["Ed Bloom - Young"]
tt0319061	2	nm0001215	actor	\N	["Ed Bloom - Senior"]
tt0319061	3	nm0001082	actor	\N	["Will Bloom"]
tt0319061	4	nm0001448	actress	\N	["Sandra Bloom - Senior"]
tt0319061	5	nm0000318	director	\N	\N
tt0319061	8	nm0169260	producer	producer	\N
tt0319061	9	nm0423134	producer	producer	\N
tt0319736	10	nm0851523	producer	producer	\N
tt0319736	1	nm0222426	actor	\N	["Bhagat K. Singh"]
tt0319736	2	nm0839820	actor	\N	["Sukhdev"]
tt0319736	3	nm1430018	actor	\N	["Shiviram Hari Rajguru"]
tt0319736	4	nm0592782	actor	\N	["Chandrashekhar Azad"]
tt0319736	5	nm0764316	director	\N	\N
tt0319736	9	nm4353263	producer	producer	\N
tt0325980	10	nm0000988	producer	producer	\N
tt0325980	1	nm0000136	actor	\N	["Jack Sparrow"]
tt0325980	2	nm0001691	actor	\N	["Barbossa"]
tt0325980	3	nm0089217	actor	\N	["Will Turner"]
tt0325980	4	nm0461136	actress	\N	["Elizabeth Swann"]
tt0325980	5	nm0893659	director	\N	\N
tt0327056	1	nm0000576	actor	\N	["Jimmy Markum"]
tt0327056	2	nm0000209	actor	\N	["Dave Boyle"]
tt0327056	3	nm0000102	actor	\N	["Sean Devine"]
tt0327056	4	nm0002536	actress	\N	["Katie Markum"]
tt0327056	5	nm0000142	director	\N	\N
tt0327056	8	nm0398469	producer	producer	\N
tt0327056	9	nm0520749	producer	producer	\N
tt0329393	1	nm0097893	actor	\N	["Raja Chowdhury","Jehangir Chowdhury"]
tt0329393	2	nm1234298	actress	\N	["Meenakshi Iyer"]
tt0329393	3	nm0756380	actor	\N	["Iqbal Ahmed Khan"]
tt0329393	4	nm0797773	actress	\N	["Najma Khan"]
tt0329393	5	nm0031967	director	\N	\N
tt0329393	7	nm1234764	producer	producer	\N
tt0338013	1	nm0000120	actor	\N	["Joel Barish"]
tt0338013	2	nm0000701	actress	\N	["Clementine Kruczynski"]
tt0338013	3	nm0929489	actor	\N	["Dr. Mierzwiak"]
tt0338013	4	nm0004423	actor	\N	["Train Conductor"]
tt0338013	5	nm0327273	director	\N	\N
tt0338013	8	nm0106835	producer	producer	\N
tt0338013	9	nm0326512	producer	producer	\N
tt0342804	1	nm1466421	self	\N	["Herself"]
tt0342804	2	nm1659243	self	\N	["Himself"]
tt0342804	3	nm1656088	self	\N	["Herself"]
tt0342804	4	nm1555195	self	\N	["Himself"]
tt0342804	5	nm1285615	director	\N	\N
tt0342804	6	nm0149671	producer	producer	\N
tt0343121	5	nm1020749	director	\N	\N
tt0343121	6	nm0019434	producer	producer	\N
tt0343121	7	nm0392008	producer	producer	\N
tt0347048	1	nm0960379	actor	\N	["Cahit"]
tt0347048	2	nm1402546	actress	\N	["Sibel"]
tt0347048	3	nm0456077	actor	\N	["Seref"]
tt0347048	4	nm1597241	actress	\N	["Barfrau in der Fabrik"]
tt0347048	5	nm0015359	director	\N	\N
tt0347048	6	nm0775831	producer	producer	\N
tt0347048	7	nm0777978	producer	producer	\N
tt0347149	1	nm0047962	actress	\N	["Sofî"]
tt0347149	2	nm0454120	actor	\N	["Hauru"]
tt0347149	3	nm0309107	actor	\N	["Karushifâ"]
tt0347149	4	nm0594271	actor	\N	["Arechi no Majo"]
tt0347149	5	nm0594503	director	\N	\N
tt0347149	7	nm0218760	producer	producer	\N
tt0347149	8	nm1566098	producer	producer	\N
tt0347149	9	nm0840699	producer	producer	\N
tt0347779	1	nm0007107	actress	\N	["Puro","Hamida"]
tt0347779	2	nm0048075	actor	\N	["Rashid"]
tt0347779	3	nm0839634	actor	\N	["Ramchand"]
tt0347779	4	nm1025281	actress	\N	["Lajjo"]
tt0347779	5	nm1363374	director	\N	\N
tt0352248	1	nm0000128	actor	\N	["Jim Braddock"]
tt0352248	2	nm0000250	actress	\N	["Mae Braddock"]
tt0352248	3	nm0081572	actor	\N	["Max Baer"]
tt0352248	4	nm0316079	actor	\N	["Joe Gould"]
tt0352248	5	nm0000165	director	\N	\N
tt0352248	8	nm0004976	producer	producer	\N
tt0352248	9	nm0001508	producer	producer	\N
tt0358456	1	nm0001618	actor	\N	["Narrator"]
tt0358456	2	nm0598671	director	\N	\N
tt0358456	3	nm0899702	producer	producer	\N
tt0361748	1	nm0000093	actor	\N	["Lt. Aldo Raine"]
tt0361748	2	nm1208167	actress	\N	["Bridget von Hammersmark"]
tt0361748	3	nm0744834	actor	\N	["Sgt. Donny Donowitz"]
tt0361748	4	nm0491259	actress	\N	["Shosanna"]
tt0361748	5	nm0000233	director	\N	\N
tt0361748	6	nm0004744	producer	producer	\N
tt0363163	1	nm0004486	actor	\N	["Adolf Hitler"]
tt0363163	2	nm0487884	actress	\N	["Traudl Junge"]
tt0363163	3	nm0559890	actor	\N	["Joseph Goebbels"]
tt0363163	4	nm0477810	actress	\N	["Eva Braun"]
tt0363163	5	nm0386570	director	\N	\N
tt0363510	1	nm1382342	self	\N	["Himself"]
tt0363510	5	nm1378741	director	\N	\N
tt0363510	6	nm1364168	director	\N	\N
tt0363510	7	nm1440650	producer	producer	\N
tt0364569	1	nm0158856	actor	\N	["Dae-su Oh"]
tt0364569	2	nm0949167	actor	\N	["Woo-jin Lee"]
tt0364569	3	nm1367246	actress	\N	["Mi-do"]
tt0364569	4	nm1203041	actor	\N	["No Joo-hwan"]
tt0364569	5	nm0661791	director	\N	\N
tt0364647	1	nm0352032	actor	\N	["Virumandi"]
tt0364647	2	nm1366317	actress	\N	["Annalachmi"]
tt0364647	3	nm1367730	actor	\N	["Kothaala Thevan"]
tt0364647	4	nm0621066	actor	\N	["Nallama Naicker"]
tt0364647	6	nm0352030	producer	producer	\N
tt0366840	1	nm1121870	actor	\N	["Ajay"]
tt0366840	2	nm0154653	actress	\N	["Swapna"]
tt0366840	3	nm0695177	actor	\N	["Obul Reddy"]
tt0366840	4	nm0151526	actor	\N	["Dashardharami Reddy"]
tt0366840	5	nm0348015	director	\N	\N
tt0366840	6	nm1196104	producer	producer	\N
tt0367110	1	nm0451321	actor	\N	["Mohan Bhargava"]
tt0367110	2	nm1539666	actress	\N	["Gita"]
tt0367110	3	nm1584145	actress	\N	["Kaveri amma"]
tt0367110	4	nm1587122	actor	\N	["Chiku"]
tt0367110	5	nm0332950	director	\N	\N
tt0367495	1	nm0352032	actor	\N	["Nallasivam"]
tt0367495	2	nm0534856	actor	\N	["Anbarasu (A Aras)"]
tt0367495	3	nm0993256	actress	\N	["Balasaraswathi"]
tt0367495	4	nm0621937	actor	\N	["Kandasamy Padayachi"]
tt0367495	5	nm1326535	director	\N	\N
tt0367495	7	nm1421168	producer	producer	\N
tt0367495	8	nm1421929	producer	producer	\N
tt0367495	9	nm1429686	producer	producer	\N
tt0368711	1	nm0005391	self	\N	["Himself, producer"]
tt0368711	2	nm0714073	self	\N	["Himself"]
tt0368711	3	nm0708493	self	\N	["Himself - Dee Dee Ramone"]
tt0368711	4	nm0708497	self	\N	["Himself"]
tt0368711	5	nm1384989	director	\N	\N
tt0368711	6	nm1385244	director	\N	\N
tt0368711	7	nm0783810	producer	producer	\N
tt0369702	1	nm0000849	actor	\N	["Ramón Sampedro"]
tt0369702	2	nm0749104	actress	\N	["Julia"]
tt0369702	3	nm0240318	actress	\N	["Rosa"]
tt0369702	4	nm0729345	actress	\N	["Manuela"]
tt0369702	5	nm0024622	director	\N	\N
tt0369702	7	nm0100559	producer	producer	\N
tt0371392	1	nm1195175	actor	\N	["Jim"]
tt0371392	2	nm1395024	actress	\N	["Louise"]
tt0371392	3	nm1395960	actress	\N	["Catherine"]
tt0371392	4	nm0993272	actress	\N	["Jasmin"]
tt0371392	5	nm1395285	director	\N	\N
tt0371392	6	nm10133104	producer	producer	\N
tt0372784	10	nm0746273	producer	producer	\N
tt0372784	1	nm0000288	actor	\N	["Bruce Wayne","Batman"]
tt0372784	2	nm0000323	actor	\N	["Alfred"]
tt0372784	3	nm0913822	actor	\N	["Ra's Al Ghul"]
tt0372784	4	nm0000553	actor	\N	["Ducard"]
tt0372784	5	nm0634240	director	\N	\N
tt0372784	8	nm0290581	producer	producer	\N
tt0372784	9	nm0650038	producer	producer	\N
tt0375611	1	nm0000821	actor	\N	["Debraj Sahai"]
tt0375611	2	nm0611552	actress	\N	["Michelle McNally"]
tt0375611	3	nm1617909	actress	\N	["Catherine 'Cathy' McNally"]
tt0375611	4	nm1754159	actress	\N	["Young Michelle McNally"]
tt0375611	5	nm0080220	director	\N	\N
tt0375611	8	nm1857322	producer	producer	\N
tt0376127	1	nm1417314	actor	\N	["Ambi","Remo","Anniyan"]
tt0376127	2	nm1632859	actress	\N	["Nandini"]
tt0376127	3	nm0695177	actor	\N	["Officer Prabhakar"]
tt0376127	4	nm0900266	actor	\N	["Chari"]
tt0376127	5	nm0788171	director	\N	\N
tt0376127	8	nm1351624	producer	producer	\N
tt0378194	1	nm0000235	actress	\N	["Beatrix Kiddo"]
tt0378194	2	nm0001016	actor	\N	["Bill"]
tt0378194	3	nm0000514	actor	\N	["Budd"]
tt0378194	4	nm0000435	actress	\N	["Elle Driver"]
tt0378194	5	nm0000233	director	\N	\N
tt0378194	6	nm0004744	producer	producer	\N
tt0378647	1	nm1115537	actor	\N	["Prof. Ramana"]
tt0378647	2	nm0801264	actress	\N	["Chitra"]
tt0378647	3	nm0080199	actress	\N	["Prof's Admirer"]
tt0378647	4	nm1429474	actor	\N	["Constable Saravanan"]
tt0378647	5	nm1436693	director	\N	\N
tt0378647	6	nm1351624	producer	producer	\N
tt0379225	10	nm0800907	producer	producer	\N
tt0379225	1	nm0586326	self	\N	["Herself - Narrator"]
tt0379225	2	nm3950227	actor	\N	["Actor - Dramatizations"]
tt0379225	3	nm0329745	actor	\N	["Actor - Dramatizations"]
tt0379225	4	nm1970214	actress	\N	["Actor - Dramatizations"]
tt0379225	5	nm0009788	director	\N	\N
tt0379225	6	nm0007989	director	co-director	\N
tt0379357	1	nm0454697	actor	\N	["Narrator"]
tt0379357	5	nm0026263	director	\N	\N
tt0379370	1	nm0451234	actor	\N	["Maqbool"]
tt0379370	2	nm0007102	actress	\N	["Nimmi"]
tt0379370	3	nm0438488	actor	\N	["Jahangir Khan (Abbaji)"]
tt0379370	4	nm0787462	actor	\N	["Inspector Purohit"]
tt0379370	5	nm0080235	director	\N	\N
tt0379370	8	nm0066063	producer	producer	\N
tt0379557	1	nm0946824	self	\N	["Himself"]
tt0379557	2	nm1440698	self	\N	["Himself"]
tt0379557	3	nm1035692	actor	\N	["Joe Simpson"]
tt0379557	4	nm1056790	actor	\N	["Simon Yates"]
tt0379557	5	nm0531817	director	\N	\N
tt0379557	7	nm0810478	producer	producer	\N
tt0379730	2	nm0001628	actor	\N	["Narrated By"]
tt0379730	3	nm0410347	self	\N	["Himself"]
tt0379730	4	nm0516093	self	\N	["Himself - Chaplin Friend","Actor"]
tt0379730	5	nm0771349	director	\N	\N
tt0379730	6	nm0293375	producer	producer	\N
tt0379730	7	nm0571493	producer	producer	\N
tt0381061	10	nm0110483	producer	producer	\N
tt0381061	1	nm0185819	actor	\N	["James Bond"]
tt0381061	2	nm1200692	actress	\N	["Vesper Lynd"]
tt0381061	3	nm0001132	actress	\N	["M"]
tt0381061	4	nm0942482	actor	\N	["Felix Leiter"]
tt0381061	5	nm0132709	director	\N	\N
tt0381681	1	nm0000160	actor	\N	["Jesse"]
tt0381681	2	nm0000365	actress	\N	["Celine"]
tt0381681	3	nm0229943	actor	\N	["Bookstore Manager"]
tt0381681	4	nm1195302	actress	\N	["Journalist #1"]
tt0381681	5	nm0000500	director	\N	\N
tt0381681	7	nm0908323	producer	producer	\N
tt0382932	1	nm0004951	actor	\N	["Gusteau"]
tt0382932	2	nm0738918	actor	\N	["Linguini"]
tt0382932	3	nm0652663	actor	\N	["Remy"]
tt0382932	4	nm0000453	actor	\N	["Skinner"]
tt0382932	5	nm0083348	director	\N	\N
tt0382932	6	nm0684342	director	co-director	\N
tt0383846	1	nm0872729	actor	\N	["Braca"]
tt0383846	2	nm1461201	actress	\N	["Iris"]
tt0383846	3	nm0322977	actor	\N	["Zivac"]
tt0383846	4	nm0587523	actor	\N	["Somi"]
tt0383846	5	nm0028968	director	\N	\N
tt0383846	7	nm0194143	producer	producer	\N
tt0383846	8	nm0430846	producer	producer	\N
tt0384116	1	nm0948000	actor	\N	["Arif Isik","Komutan Logar","Ersan Kuneri"]
tt0384116	2	nm0654863	actor	\N	["Bob Marley Faruk"]
tt0384116	3	nm0880126	actor	\N	["Garavel"]
tt0384116	4	nm1202635	actress	\N	["Mulu"]
tt0384116	5	nm0814716	director	\N	\N
tt0384116	7	nm0015528	producer	producer	\N
tt0385928	10	nm0619309	actor	\N	["Annoying father-in-law"]
tt0385928	1	nm0352032	actor	\N	["Ramachandramurthy (Ram)"]
tt0385928	2	nm0801264	actress	\N	["Mythili"]
tt0385928	3	nm0471447	actress	\N	["Maggie"]
tt0385928	4	nm0419688	actor	\N	["Nair"]
tt0385928	5	nm0433893	director	\N	\N
tt0386032	1	nm0601619	self	\N	["Himself"]
tt0386032	2	nm3235380	self	\N	["Himself"]
tt0386032	3	nm1125277	self	\N	["Himself"]
tt0386032	5	nm1713258	producer	producer	\N
tt0386064	1	nm0417520	actor	\N	["Jin-tae Lee"]
tt0386064	2	nm1047193	actor	\N	["Jin-seok Lee"]
tt0386064	3	nm0497249	actress	\N	["Young-shin Kim"]
tt0386064	4	nm1045837	actor	\N	["Yong-man"]
tt0386064	5	nm0437625	director	\N	\N
tt0386064	9	nm1231170	producer	producer	\N
tt0393597	1	nm0000469	actor	\N	["Narrator"]
tt0393597	2	nm0001772	actor	\N	["Narrator"]
tt0393597	3	nm1163076	actress	\N	["Narrator (French version)"]
tt0393597	4	nm0876300	actor	\N	["Narrator"]
tt0393597	5	nm0288144	director	\N	\N
tt0393597	6	nm1768412	director	\N	\N
tt0393597	8	nm1008258	producer	producer	\N
tt0393597	9	nm1372246	producer	producer	\N
tt0393775	1	nm0311588	actor	\N	["Simon Cohen"]
tt0393775	2	nm0378102	actor	\N	["Camiel Vrolijk"]
tt0393775	3	nm0517054	actress	\N	["Sharon"]
tt0393775	4	nm0406163	actress	\N	["Joy"]
tt0393775	5	nm0856124	director	\N	\N
tt0395169	1	nm0000332	actor	\N	["Paul Rusesabagina"]
tt0395169	2	nm0645683	actress	\N	["Tatiana Rusesabagina"]
tt0395169	3	nm0001618	actor	\N	["Jack Daglish"]
tt0395169	4	nm1796730	actor	\N	["Policeman"]
tt0395169	5	nm0313623	director	\N	\N
tt0395169	7	nm0457715	producer	producer	\N
tt0396962	10	nm1749264	producer	producer	\N
tt0396962	1	nm1550913	actor	\N	["Keshavram Shantaram Vichare"]
tt0396962	2	nm1727096	actor	\N	["Parshuram 'Parshya' Vichare"]
tt0396962	3	nm1276263	actor	\N	["Dr. Sane"]
tt0396962	4	nm1576284	actress	\N	["Ashawari (Medica Social Worker)"]
