tconst	averageRating	numVotes
tt0405508	8.2	96347
tt0407887	8.5	1032965
tt0408664	8.1	20278
tt0410407	8.1	1087
tt0411469	8.0	4248
tt0412631	8.2	1140
tt0413615	8.3	1203
tt0416960	8.6	10155
tt0419781	8.8	6419
tt0423866	8.1	43799
tt0424227	8.1	15693
tt0425162	8.2	1711
tt0425333	8.2	15165
tt0428870	8.2	18842
tt0434409	8.2	923238
tt0435761	8.3	652935
tt0436231	8.0	8185
tt0436971	8.1	9450
tt0440963	8.0	569575
tt0442268	8.0	3854
tt0450259	8.0	450745
tt0453729	8.1	13804
tt0454921	8.0	392056
tt0455829	8.0	5390
tt0456144	8.1	36536
tt0456149	8.0	11829
tt0457430	8.2	552555
tt0457496	8.0	1696
tt0458050	8.2	2382
tt0459516	8.4	3006
tt0462441	8.2	1174
tt0466460	8.3	18791
tt0468569	9.0	1978028
tt0469494	8.1	446593
tt0471571	8.3	9762
tt0473453	8.0	1780
tt0473604	8.0	1031
tt0476735	8.4	61410
tt0477348	8.1	735534
tt0478209	8.1	10846
tt0478331	8.1	1538
tt0480732	8.5	1329
tt0482571	8.5	1021299
tt0483180	8.3	2592
tt0488414	8.1	16434
tt0493393	8.3	3540
tt0494724	8.0	1023
tt0758758	8.1	508089
tt0759952	8.4	1899
tt0770802	8.5	28432
tt0772153	8.0	2381
tt0790636	8.0	388197
tt0796366	8.0	548410
tt0805188	8.0	1831
tt0807956	8.4	1645
tt0808417	8.1	79717
tt0814075	8.0	9186
tt0816692	8.6	1221035
tt0824316	8.0	4950
tt0839967	8.2	2505
tt0841119	8.3	2306
tt0843326	8.2	6773
tt0848228	8.1	1129960
tt0851577	8.0	9725
tt0855822	8.3	2157
tt0856008	8.0	4546
tt0860906	8.0	13202
tt0861739	8.1	90399
tt0867145	8.1	2456
tt0870112	8.0	1319
tt0871510	8.2	63620
tt0892375	8.4	2747
tt0892425	8.7	1118
tt0892769	8.1	582348
tt0910970	8.4	868188
tt0911010	8.4	1534
tt0912593	8.3	7800
tt0923752	8.1	32879
tt0925130	8.1	1010
tt0925248	8.1	6024
tt0929620	8.2	1122
tt0947798	8.0	627123
tt0965382	8.6	1559
tt0978762	8.1	145714
tt0986264	8.4	130973
tt0986329	8.3	2268
tt0988108	8.0	13033
tt0993846	8.2	981863
tt1010048	8.0	725044
tt1014762	8.6	20115
tt1015246	8.0	1044
tt1028532	8.1	212046
tt1029172	8.3	2055
tt1034053	8.0	1381
tt1039647	8.3	7417
tt1049413	8.3	807732
tt1068956	8.4	8622
tt1069238	8.1	43515
tt1087578	8.0	10023
tt1094594	8.6	7428
tt1097256	8.0	1208
tt1113829	8.1	8822
tt1128075	8.1	9487
tt1129435	8.0	2234
tt1130884	8.1	960580
tt1152758	8.6	28027
tt1157720	8.1	1149
tt1171701	8.2	28767
tt1178197	8.1	5291
tt1180583	8.0	6648
tt1183919	8.0	12256
tt1185616	8.0	51205
tt1187043	8.4	283929
tt1188996	8.0	87514
tt1194437	8.0	1181
tt1194620	8.0	4796
tt1201607	8.1	662199
tt1205489	8.1	650001
tt1220719	8.0	192042
tt1249171	8.0	4189
tt1255953	8.2	115764
tt1260502	8.0	12220
tt1261047	8.1	11867
tt1277737	8.0	16577
tt1278060	8.0	1116
tt1280558	8.2	65551
tt1282139	8.0	8899
tt1282371	8.0	3156
tt1291584	8.2	391630
tt1294182	8.4	1004
tt1305806	8.2	165787
tt1305871	8.1	2866
tt1313104	8.5	44374
tt1320254	8.2	1265
tt1327035	8.1	25070
tt1327819	8.0	1573
tt1333634	8.0	2229
tt1345836	8.4	1337117
tt1360860	8.1	35735
tt1361558	8.4	4840
tt1375666	8.8	1758078
tt1392190	8.1	740633
tt1392214	8.1	501376
tt1417299	8.1	4471
tt1417592	8.3	7177
tt1419318	8.0	3046
tt1424432	8.6	52591
tt1430836	8.0	1125
tt1431045	8.0	770241
tt1454029	8.1	379215
tt1487275	8.0	2246
tt1496729	8.6	2310
tt1499666	8.1	13573
tt1501298	8.4	1831
tt1504320	8.0	574694
tt1517451	8.3	71921
tt1524539	8.4	1644
tt1545103	8.4	3510
tt1555149	8.1	73498
tt1562872	8.1	55865
tt1572781	8.1	5060
tt1583256	8.3	2147
tt1583323	8.0	2307
tt1587707	8.0	57405
tt1590129	8.4	1250
tt1601792	8.5	1824
tt1603362	8.4	1917
tt1606829	8.4	3275
tt1609168	8.0	4128
tt1613040	8.1	3122
tt1618448	8.2	6592
tt1620933	8.2	28262
tt1621830	8.6	4354
tt1634013	8.3	10044
tt1639426	8.2	37639
tt1645089	8.3	63892
tt1646967	8.3	7178
tt1649431	8.2	5148
tt1659337	8.0	410511
tt1663202	8.0	580687
tt1670703	8.3	1387
tt1675434	8.5	639496
tt1692928	8.3	3735
tt1695800	8.3	3464
tt1698010	8.0	5800
tt1715802	8.3	1746
tt1720035	8.1	1400
tt1727824	8.4	6365
tt1754109	8.8	4358
tt1773764	8.1	5340
tt1778338	8.3	3430
tt1781069	8.2	16655
tt1789083	8.2	3821
tt1789810	8.4	2140
tt1795369	9.0	1657
tt1798709	8.0	443348
tt1801071	8.3	5711
tt1805263	8.0	2958
tt1807022	8.0	1725
tt1809387	8.5	1064
tt1813757	8.2	4248
tt1821317	8.0	3623
tt1821480	8.2	49645
tt1821682	8.1	3243
tt1821700	8.2	28758
tt1825163	8.1	1872
tt1826603	8.3	3662
tt1828232	8.4	1126
tt1830802	8.2	1527
tt1832382	8.3	187133
tt1843335	8.0	1358
tt1853563	8.3	5200
tt1853728	8.4	1158275
tt1856101	8.0	339136
tt1857670	8.2	4433
tt1865505	8.1	40994
tt1874522	8.0	3500
tt1877832	8.0	598031
tt1891757	8.3	8049
tt1895587	8.1	340552
tt1906386	8.2	2216
tt1918969	8.2	2229
tt1922545	8.1	1516
tt1935156	8.1	18054
tt1945039	8.0	1016
tt1954470	8.2	65267
tt1979320	8.1	379194
tt1998204	8.0	1120
tt2004304	8.0	1123
tt2015381	8.1	881685
tt2022522	8.2	1106
tt2024544	8.1	552879
tt2028530	8.1	7910
tt2049586	8.0	1322
tt2070649	8.0	7486
tt2073600	8.7	1319
tt2075108	8.2	3240
tt2077886	8.8	5555
tt2082197	8.1	66221
tt2084970	8.0	590884
tt2085783	8.2	1196
tt2096673	8.2	503190
tt2104994	8.1	1578
tt2106476	8.3	228295
tt2111478	8.1	3103
tt2119532	8.1	338679
tt2120779	8.1	1088
tt2124189	8.0	1268
tt2125608	8.2	56835
tt2129928	8.1	2156
tt2140203	8.2	28862
tt2146960	8.3	1732
tt2150209	8.0	6889
tt2153891	8.5	1167
tt2170667	9.4	14469
tt2181831	8.3	11795
tt2199711	8.4	37441
tt2215151	8.1	6102
tt2218988	8.3	8318
tt2220642	8.0	1705
tt2243299	8.1	1935
tt2244877	8.2	1645
tt2245544	8.3	2583
tt2265171	8.0	100609
tt2265179	8.3	1522
tt2267998	8.1	724838
tt2278388	8.1	605503
tt2283748	8.2	41191
tt2296909	8.0	1317
tt2338151	8.2	128958
tt2351177	8.1	2688
tt2354205	8.2	2054
tt2356180	8.2	52240
tt2358592	8.4	10032
tt2358913	8.0	6088
tt2359814	8.3	1140
tt2370248	8.0	69679
tt2370718	8.1	4344
tt2374144	8.2	1290
tt2375379	8.0	4701
tt2375559	8.3	40285
tt2375605	8.2	29853
tt2377938	8.0	42958
tt2380307	8.4	227849
tt2391492	8.2	1345
tt2396224	8.3	8608
tt2412748	9.1	1038
tt2414166	8.8	1898
tt2415372	8.7	1352
tt2471640	8.1	16342
tt2473476	8.7	2449
tt2486682	8.1	7795
tt2488496	8.0	757296
tt2499076	8.2	4437
tt2516280	8.0	1414
tt2518788	8.0	3247
tt2542406	8.0	1500
tt2543472	8.0	92202
tt2545118	8.1	54712
tt2550858	8.2	1011
tt2564144	8.2	3664
tt2564706	8.2	3821
tt2576852	8.1	27238
tt2582802	8.5	575703
tt2585562	8.1	4908
tt2592910	9.3	40150
tt2593392	8.2	2701
tt2631186	8.2	89063
tt2640460	8.4	3218
tt2659414	8.2	10185
tt2700330	8.2	1392
tt2758880	8.2	34102
tt2827320	8.2	1537
tt2865822	8.4	1273
tt2869878	9.2	1061
tt2877108	8.4	6623
tt2882328	8.1	15522
tt2905772	8.0	7223
tt2924472	8.0	3947
tt2926068	8.1	8290
tt2948356	8.0	358178
tt2976176	8.1	1142
tt2991224	8.2	30456
tt3006576	8.0	1596
tt3011894	8.1	141242
tt3034728	8.1	1826
tt3037582	8.0	2326
tt3039472	8.1	1228
tt3124456	8.0	4165
tt3153634	8.3	3613
tt3170832	8.2	290539
tt3185772	8.2	1692
tt3203290	8.0	12613
tt3268458	8.1	13972
tt3270538	8.1	7398
tt3274484	8.3	1187
tt3302820	8.3	16425
tt3311384	8.1	6985
tt3313066	8.7	1277
tt3315342	8.1	515696
tt3320542	8.2	3947
tt3322420	8.3	52767
tt3327994	8.7	5720
tt3341582	8.0	1067
tt3365690	8.0	1889
tt3390572	8.2	44347
tt3394420	8.5	5404
tt3395608	8.1	2929
tt3417422	8.8	21563
tt3445270	8.0	2289
tt3449292	8.0	15414
tt3455224	8.3	8564
tt3455822	8.0	2674
tt3461252	8.2	21232
tt3521134	8.3	9578
tt3526810	8.0	4592
tt3544112	8.0	70049
tt3557258	9.2	1103
tt3560686	8.0	7402
tt3569782	8.4	7739
tt3576728	8.3	16546
tt3590482	8.5	1676
tt3592030	8.7	1209
tt3606756	8.0	114281
tt3607198	8.5	1599
tt3612616	8.1	40684
tt3614516	8.0	7746
tt3646462	8.0	8366
tt3659388	8.0	640561
tt3668162	8.3	11666
tt3674140	8.4	16430
tt3686998	8.4	7668
tt3711164	8.1	1895
tt3722234	8.2	1240
tt3741834	8.1	167664
tt3783958	8.1	399248
tt3784160	8.2	2843
tt3801314	8.0	14576
tt3810932	8.3	2794
tt3822388	8.0	2607
tt3848892	8.1	46282
tt3863552	8.0	60096
tt3917908	8.8	1471
tt3970482	8.6	3831
tt3973410	8.5	3988
tt3982254	8.0	1201
tt4016934	8.1	68296
tt4044364	8.1	46508
tt4058426	8.2	1760
tt4085696	8.5	1009
tt4088588	8.0	2737
tt4115752	8.2	2055
tt4130418	8.4	2163
tt4131686	9.8	1076
tt4145178	8.2	6041
tt4154756	8.6	511320
tt4168188	8.3	7406
tt4257858	8.0	33103
tt4295126	8.1	1642
tt4309356	8.0	5436
tt4387040	8.1	45929
tt4393514	8.2	2199
tt4429128	8.5	4366
tt4430212	8.3	50048
tt4432480	8.6	10696
tt4449576	8.1	2629
tt4476736	8.6	1475
tt4519488	9.0	1027
tt4523112	8.2	4054
tt4532404	8.3	1614
tt4618398	8.1	6569
tt4632316	8.4	2020
tt4635372	8.1	16771
tt4640206	8.7	6861
tt4658770	8.5	1533
tt4679210	8.3	12305
tt4741412	8.2	1385
tt4806232	8.1	2792
tt4833824	8.3	7572
tt4846952	8.6	2339
tt4849438	8.4	60670
tt4851630	8.3	3893
tt4857264	8.1	67612
tt4881362	8.4	1929
tt4888834	8.1	3914
tt4899880	8.6	1294
tt4908644	8.4	10044
tt4909506	8.9	1897
tt4912910	8.0	145733
tt4928620	8.4	2566
tt4934950	8.2	23461
tt4943992	8.6	1018
tt4973112	8.4	2316
tt4987556	8.5	12396
tt4991384	8.6	4167
tt5005684	8.5	4036
tt5016442	8.2	1108
tt5021536	8.4	1495
tt5027202	8.3	1059
tt5027774	8.2	287654
tt5039054	8.0	3123
tt5046534	8.7	3874
tt5066616	8.2	1716
tt5069074	9.0	2690
tt5074352	8.5	107111
tt5078886	8.4	1254
tt5083738	8.1	1266
tt5086104	8.3	2001
tt5104080	8.9	1965
tt5104604	8.0	76745
tt5116410	8.0	5838
tt5137380	8.1	2190
tt5161204	8.7	1095
tt5190958	8.8	1478
tt5271442	8.5	3397
tt5275892	9.0	14087
tt5311514	8.4	111276
tt5311546	9.2	4012
tt5312232	8.4	8778
tt5323662	8.2	19070
tt5335314	8.4	1313
tt5354160	9.4	17873
tt5458088	8.1	2656
tt5460658	8.3	5111
tt5466576	8.0	2318
tt5477194	8.1	2191
tt5494396	8.3	1233
tt5504168	8.3	3115
tt5510934	9.1	2672
tt5534436	8.3	2690
tt5559528	8.2	2068
tt5571734	8.2	29644
tt5600714	8.2	3476
tt5611648	8.6	2246
tt5691226	8.9	1033
tt5726616	8.0	129241
tt5732482	9.1	1374
tt5777628	8.3	3428
tt5813916	9.4	98395
tt5824826	8.4	3378
tt5836866	8.0	1316
tt5849148	8.1	1030
tt5867800	8.9	6969
tt5870084	8.9	1176
tt5889462	8.1	1324
tt5895028	8.2	17889
tt5906392	8.1	2177
tt5929776	8.3	21690
tt5959980	9.2	2623
tt5963218	9.6	6446
tt6019206	8.8	2592
tt6023118	8.8	1225
tt6027478	8.1	4344
tt6054758	8.5	3112
tt6058226	9.7	2561
tt6076366	8.2	1505
tt6108090	8.0	14052
tt6148156	8.8	15266
tt6155172	8.3	1203
tt6156350	8.3	3604
tt6167894	8.1	3038
tt6212984	8.3	2078
tt6223974	8.1	2308
tt6315524	8.3	2911
tt6316138	8.9	22769
tt6333054	8.1	2732
tt6346162	8.6	1287
tt6413712	8.0	1156
tt6452574	8.2	32544
tt6485666	8.1	20505
tt6510332	8.2	2277
tt6520954	8.9	1265
tt6543652	8.0	4206
tt6628102	8.5	5150
tt6679360	9.2	2632
tt6794424	8.2	1948
tt6980546	8.2	11779
tt7019842	9.3	4330
tt7060460	8.4	4990
tt7180544	8.1	4084
tt7218518	8.1	11486
tt7252000	8.0	1223
tt7294534	8.5	11984
tt7320560	8.2	1479
tt7345930	8.0	3539
tt7362036	8.2	1306
tt7391996	9.4	1134
tt7392212	8.7	13604
tt7465992	8.8	5341
tt7581572	8.3	1283
tt7610196	8.7	1396
tt7642818	8.0	10569
tt7681902	8.5	9506
tt7689966	8.0	3438
tt7691572	8.5	5718
tt7725596	8.3	3547
tt7745068	8.3	1207
tt7748244	8.0	7814
tt7762982	8.0	1091
tt7765910	8.8	4415
tt7797658	8.3	1240
tt7914416	8.2	1517
tt8043306	8.2	1796
tt8075192	8.1	3207
tt8108198	9.1	11042
tt8108202	8.3	8750
tt8135494	8.6	6284
tt8176054	9.5	1779
tt8239946	8.8	2515
tt8288836	8.0	1266
tt8368032	8.8	1450
tt8590896	8.2	3457
tt9042284	9.3	1830
tt9063106	9.2	1279
